address,city,price,sqft,lot_sqft,lot_sqft_ratio,existing_adu,Jurisdiction,Description,New_Class,has_zoning,jurisdiction_type
15227 Graystone Ave,Norwalk,869000,1145.0,5068.0,4.426200873362445,1,Norwalk,Single-Family Residential,Suburban residential,True,Incorporated
1303 N Merona St,Anaheim,898000,1278.0,7039.0,5.507824726134586,1,Anaheim,RS-2,Suburban residential,True,Incorporated
22849 Leadwell St,West Hills,830000,1299.0,7499.0,5.772902232486528,0,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
11373 Rampart Dr,Dublin,1590000,2262.0,13328.0,5.892130857648099,0,Dublin,R-1,Suburban residential,True,Incorporated
5841 Arroyo Dr,Los Angeles,1148000,1260.0,5564.0,4.415873015873016,0,Los Angeles,RESIDENTIAL,Multi-family,True,Incorporated
1732 Newport Ave,Pasadena,1165000,1420.0,5421.0,3.817605633802817,0,Pasadena,Single-Family Residential,Suburban residential,True,Incorporated
561 Culp Ave,Hayward,725000,992.0,5100.0,5.141129032258065,0,Hayward,Single Family Residential - Min. Lot Size - 5000 Sq Ft,Urban residential,True,Incorporated
5712 Grandview Ave,Yorba Linda,1699900,2050.0,15875.0,7.7439024390243905,0,Yorba Linda,Residential Estate,Suburban residential,True,Incorporated
6382 Cayuga Dr,Westminster,995000,1237.0,7416.0,5.995149555375909,0,Westminster,R1 (Single-Family Residential) District,Suburban residential,True,Incorporated
2035 Litchfield Ave,Long Beach,849000,979.0,7879.0,8.048008171603676,0,Long Beach,R-1-N,Suburban residential,True,Incorporated
36686 Charles St,Newark,1028888,1190.0,5500.0,4.621848739495798,1,Newark,Low Density Residential - 6000 District,Suburban residential,True,Incorporated
5846 Cold Water Dr,Castro Valley,1325000,1723.0,16646.0,9.661056297156122,0,ALA,Single Family Residential,Suburban residential,True,Incorporated
82 Hollywood Ave,San Jose,1288000,1956.0,5922.0,3.0276073619631902,1,San Jose,R-2,Urban residential,True,Incorporated
11926 Kathyann St,Sylmar,1200000,1683.0,7576.0,4.501485442661913,1,Los Angeles,RESIDENTIAL,Suburban residential,True,Incorporated
124 S Beachwood Dr,Burbank,1350000,1750.0,6752.0,3.858285714285714,1,Burbank,(R-1) Residential Single Family,Suburban residential,True,Incorporated
4321 Apricot Rd,Simi Valley,949000,1367.0,10018.0,7.328456474030724,1,Simi Valley,RESIDENTIAL MEDIUM DENSITY,Suburban residential,True,Incorporated
337 N 3rd St,Montebello,919999,1468.0,6236.0,4.247956403269755,1,Montebello, ,Multi-family,True,Incorporated
1803 Bucknall Rd,Campbell,1950000,2319.0,8100.0,3.4928848641655885,0,Campbell,Medium Density Residential ,Multi-family,True,Incorporated
227 W Fairview Blvd,Inglewood,850000,1178.0,6771.0,5.747877758913413,0,Inglewood,RES SINGLE FAMILY,Suburban residential,True,Incorporated
3613 Potrero Dr,Fullerton,1200000,1816.0,15606.0,8.593612334801762,1,Fullerton,"R-1-20 One-Family Residential (20,000 SF min. lot size)",Suburban residential,True,Incorporated
2230 Crocker Way,Santa Clara,1999000,1689.0,8040.0,4.760213143872114,0,Santa Clara,R1-6L,Suburban residential,True,Incorporated
6290 Lillian Way,San Jose,1699950,1468.0,6000.0,4.087193460490464,0,San Jose,R-1-8,Suburban residential,True,Incorporated
17025 Labrador St,Northridge,1275000,2106.0,13855.0,6.578822412155746,0,Los Angeles,AGRICULTURE,Suburban residential,True,Incorporated
30 LA Cuesta Rd,Orinda,1599000,2486.0,12000.0,4.8270313757039425,1,Orinda,RL-20,Suburban residential,True,Incorporated
5785 Bertrand Ave,Encino,1350000,1615.0,5617.0,3.4780185758513933,1,Los Angeles,RESIDENTIAL,Urban residential,True,Incorporated
