county,listing_id,status,address,city,state,zip,lat,lon,price,price_per_sqft,beds,baths,sqft,lot_sqft,year_built,garage,property_type,description,url,list_date,last_update,days_on_market,adu_keywords,lot_utilization,remaining_lot_sqft,price_per_bedroom
"Contra Costa County, CA",2985560138,for_sale,948 Jones Ave,Pinole,CA,94564,38.002431,-122.296661,899998,0,3,2,1651.0,17424.0,1941.0,0,single_family,"Welcome to 948 Jones Ave located in the heart of Pinole! This property is a move-in ready single-story home offering 3 bedrooms, 2 bathrooms, and 1, 651 sq. ft. of comfortable living space. Natural light fills every room, creating a warm and inviting atmosphere. The primary bedroom is a standout feature, complete with its own custom kitchenette for added convenience. Sitting on an expansive 0.4-acre lot, this property is truly one-of-a-kindperfect for a large family, car collector, auto mechanic, or contractor. The backyard offers endless potentialimagine building a swimming pool, basketball court, or even multiple ADUs. The detached garage already has the possibility of being converted into an ADU, making it ideal for in-laws, a private guest suite, or generational living/rental income opportunities. A huge driveway provides parking for up to four cars side-by-side, while the basement adds valuable storage or the option to create your own studio space. All this, just minutes from Downtown Pinole, the local farmers market, and with easy access to I-80. With its space, versatility, and prime location, this property is a rare find with unlimited opportunities inside and out.",https://www.realtor.com/realestateandhomes-detail/948-Jones-Ave_Pinole_CA_94564_M27749-39184,2025-08-21 14:46:35+00:00,,0,ADU,0.09475436179981635,15773.0,299999.3333333333
"Contra Costa County, CA",2985549451,for_sale,1343 Sixth St,Rodeo,CA,94572,38.032379,-122.258632,700000,0,2,1,775.0,10500.0,1943.0,0,single_family,"Nestled in the hills of Rodeo. Quaint home with upgrades in Kitchen and Bathroom. Freshly painted walls. Your not going to want to miss this home. Abundant natural light, Engineered wood flooring and Natural hardwood. Open and airy floor plan that is perfect for family gatherings or just a quiet night at home. Extra side lot is exactly what you want if your thinking of adding an ADU. Paved backyard patio for entertaining includes a gazebo for relaxing. Single car garage attached to the home and a detached 2 car garage. Plumbing has been updated. This home is the perfect starter home.",https://www.realtor.com/realestateandhomes-detail/1343-6th-St_Rodeo_CA_94572_M22134-90495,2025-08-21 02:27:39+00:00,,0,ADU,0.07380952380952381,9725.0,350000.0
"Contra Costa County, CA",2985540431,for_sale,1950 Emerald St,Concord,CA,94518,37.94825,-122.035829,850000,0,4,2,1484.0,9750.0,1966.0,0,single_family,"Welcome home to this beautifully refreshed single-story home nestled in a quiet cul-de-sac! Step inside to find brand-new laminate flooring in the living areas, plush carpet in the bedrooms, and fresh paint inside and out, creating a move-in ready feel! The inviting curb appeal is enhanced by lush landscaping, setting the tone for a home thats both stylish and welcoming. With potential RV access, space for an ADU, a pool, or ALL 3! The opportunities are endless! Conveniently located near BART, public transit, shopping, restaurants, schools, and trails, this home offers the perfect blend of comfort and accessibility. This could be your next place to call, HOME!",https://www.realtor.com/realestateandhomes-detail/1950-Emerald-St_Concord_CA_94518_M20033-70589,2025-08-20 22:00:34+00:00,,0,ADU,0.15220512820512822,8266.0,212500.0
"Contra Costa County, CA",2985530430,for_sale,1235 Marin Ave,Albany,CA,94706,37.887784,-122.293764,1150000,0,4,2,1510.0,5000.0,1927.0,0,single_family,"Searching for that elusive, easy-to-navigate single-story home? Look no further! Just five gentle steps lead to this light-filled Albany bungalowcirca 1929offering classic charm with thoughtful modern updates. The approx. 1, 510 sq ft floor plan features 4 bedrooms and 2 beautifully remodeled bathrooms with custom tile and elegant finishes. Just off the tiled entry, the 4th bedroom makes a perfect office with its own exterior door to a serene side garden. The spacious living/dining area features a cozy gas fireplace, while the remodeled kitchen shines with a subway tile backsplash, Corian counters, stainless steel appliances, tile flooring, and dining space. Natural light fills the home, highlighting stylish upgrades throughout. The primary suite includes an elegant en-suite bath. Situated on a 5, 000 sq ft corner lot, the property includes a detached 2-car garage with possible ADU potential (check with city) and a formal back porch entry off Evelyn Street. Two additional off-street parking spaces and a professionally designed garden with native plants complete the picture. Great Albany location near Solano Ave, top schools, library, and transit. With a 93 Walk Score and 96 Bike Score, this location is as convenient as it is charming.",https://www.realtor.com/realestateandhomes-detail/1235-Marin-Ave_Albany_CA_94706_M14587-94261,2025-08-20 18:35:24+00:00,,0,ADU,0.302,3490.0,287500.0
"Contra Costa County, CA",2985512400,for_sale,615 Stanley Ln,El Sobrante,CA,94803,37.951598,-122.269506,975000,0,5,3,2533.0,26001.0,1990.0,0,single_family,"The Perfect Package: Location, Large Lot, & Pool! This spacious 5-bedroom, 3-bath home sits on a massive .59-acre lot, offering a pool, spa, and endless possibilities for an ADU and more. Tucked away on a private lane with convenient side access for RV and boat storage. This property features a main-level bedroom and bath, ideal for multigenerational living. Enjoy seamless access to Bay Area hubs like Oakland, Berkeley, and San Francisco, with BART, HWY 80, 580, and 24 just minutes away. This home is a rare blend of space, privacy, and long-term potential. perfect for families seeking comfort and opportunity. Don't miss out!",https://www.realtor.com/realestateandhomes-detail/615-Stanley-Ln_El-Sobrante_CA_94803_M20044-17185,2025-08-20 07:13:39+00:00,,0,ADU,0.09741933002576823,23468.0,195000.0
"Contra Costa County, CA",2985485153,for_sale,1302 Channing Way,Berkeley,CA,94702,37.863232,-122.285866,1299000,0,3,2,1500.0,4000.0,1924.0,0,single_family,"Welcome to this delightful 3-bedroom, 2-bathroom Craftsman home that beautifully blends timeless character with modern convenience. Step inside to find the warmth of classic wood detailing, inviting living spaces, and cedar-lined closets that add both charm and function. The home is equipped with owned solar panels, offering energy efficiency and cost savings for years to come. Adding to its appeal, the original garage has been thoughtfully transformed into a fully permitted Accessory Dwelling Unit (ADU). Whether used as a rental, a private guest retreat, or a spacious home office, the ADU provides exceptional flexibility and income potential. Even with the garage conversion, there is still ample off-street parking for 2+ vehicles, a rare and valuable feature in this neighborhood. Located in the heart of Berkeley, this home is just moments away from neighborhood parks, local shops, cafs, and convenient transit options. With its blend of historic Craftsman charm, practical updates, and versatile living spaces, 1302 Channing Way is a home ready to grow with you for years to come.",https://www.realtor.com/realestateandhomes-detail/1302-Channing-Way_Berkeley_CA_94702_M96424-81702,2025-08-19 16:21:46+00:00,,0,"Accessory Dwelling, ADU",0.375,2500.0,433000.0
"Contra Costa County, CA",2985460823,for_sale,1810 Meadow Ln,Walnut Creek,CA,94595,37.878556,-122.059807,1699800,0,3,2,1739.0,40511.0,1956.0,0,single_family,"A rare opportunity to own .93 acres with enormous possibilities in Walnut Creeks desirable & scenic Tice Valley. Private & peaceful location. Front garden entry. Profit from the fabulous potential to lot split this acreage. Build an income-producing ADU, a guesthouse, or expand the existing 1739+/-SF ranch-style home. Take advantage of panoramic & east-facing Mt. Diablo views at the top of the tree-lined driveway. 3 bds. 2 bths. Dramatic vaulted exposed redwood beam & tongue & groove ceilings, tile flrs, fresh interior paint, wood blinds, new light fixtures. Multiple storage closets. Formal living rm w/wood-burning frpl & slider to backyard patio & outdoor gardens, mature trees, raised bds, views. Adjacent dining rm enjoys views through wall of windows. Galley-style kitchen, granite slab counter, peninsula island. Family rm & casual dining area w/slider to bkyd. Primary suite w/hillside, treetop views, large reach-in closet. En suite w/shwr, pedestal sink. 2 more bdrm w/reach-in closets, garden view windows. Oversized 2-car garage, storage, workbench. Off-street parking for multiple cars. Front-loading washer/dryer, utility sink. Easy access to Iron Horse Trail, top-rated Walnut Creek schls, freeways, BART. 1 mile to downtown Walnut Creek, Broadway Plaza, restaurants.",https://www.realtor.com/realestateandhomes-detail/1810-Meadow-Ln_Walnut-Creek_CA_94595_M15692-10987,2025-08-18 21:48:33+00:00,,0,ADU,0.04292661252499321,38772.0,566600.0
"Contra Costa County, CA",2985424835,for_sale,51 Cunha Ct,Oakley,CA,94561,37.995226,-121.753589,1579000,0,4,3,3800.0,41382.0,1985.0,0,single_family,"Exquisite Neroly Estates Retreat! Neroly Estates 3, 800 sq ft, 4-bed, 3-bath home on .95 acres with pool & vineyard w/ $200K upgrades in 2025: Remodeled spa-inspired master bath & downstairs bath, new hardwood floors & carpet w/ premium padding, crown molding, Bosch dishwasher, smart recessed lighting, smart home system for lights/temp, ADT alarm w/ cameras, painted interiors, revamped kitchen cabinets w/ luxury paint/hardware, plantation shutters, blinds, Dolby Atmos in ceiling sound system, new fans, remodeled fireplace. Chefs kitchen with Dacor appliances, gas range, leather granite counters, butlers pantry. Large Great Room, living room, dining room w/ buffet/wine fridge, cozy parlor 1st-floor suite w/ views, secondary primary suite upstairs with sklylights, large sitting area, and luxary remodeld and upgraded bath, covered patio, lush grounds w/sit down lawn mower included. Space for ADU/pool house/workshop. Private well for irrigation, city water for house, 3-car garage, RV/boat parking. This move-in-ready estate is poised for a quick sale in Oakleys hot market.",https://www.realtor.com/realestateandhomes-detail/51-Cunha-Ct_Oakley_CA_94561_M22067-16317,2025-08-16 23:39:31+00:00,,0,ADU,0.09182736455463728,37582.0,394750.0
"Contra Costa County, CA",2985409394,for_sale,3225 Cowell Rd,Concord,CA,94518,37.965814,-122.021553,799000,0,3,2,1496.0,11160.0,1952.0,0,single_family,"This is a Stunner! Welcome to 3225 Cowell Road, a beautifully remodeled 3 bedroom 2 bath home designed for both comfort and style. Inside, youll find a light and airy ambiance highlighted by wide-plank laminate flooring that flows through the living area and kitchen. The spacious kitchen is a true centerpiece with quartz countertops, a gas range, and ample cabinetry that provides plenty of storage for all your needs. The guest bath has been thoughtfully updated with gorgeous tile work, while the expanded primary suite offers the perfect retreat. It features a massive walk-in closet, a spa-like updated bathroom with an oversized shower and large vanity, and a convenient laundry room steps awayall part of the thoughtfully designed addition. Sitting on over a quarter-acre of flat, usable land, the property provides endless possibilities. Theres space for RV or boat parking, additional cars, and a storage unit, with room left to create the backyard of your dreamswhether that means adding a pool, an ADU, or even both. Located just minutes from downtown Concord and BART, with direct access to the Canal Trail only steps away, this home blends convenience with an active lifestyle, perfect for biking, walking, and outdoor recreation.",https://www.realtor.com/realestateandhomes-detail/3225-Cowell-Rd_Concord_CA_94518_M21077-63867,2025-08-16 01:27:37+00:00,,0,ADU,0.13405017921146953,9664.0,266333.3333333333
"Contra Costa County, CA",2985406221,for_sale,234 Acacia Ln,Alamo,CA,94507,37.865263,-122.020799,2400000,0,3,3,2181.0,50400.0,1941.0,0,single_family,"VERY RARE OPPORTUNITY TO OWN THIS PROPERTY ZONED R20 USED FOR HORSE/LIVESTOCK PROPERTY. A SPRAWLING MAIN RESIDENCE BEAUTIFULLY REMODELED WITH GREAT ROOM, CHEF'S KITCHEN, CUSTOM OFFICE, GLEAMING HARDWOOD FLOORS THROUGHOUT, INTERIOR LAUNDRY W/WALK IN PANTRY, TWO EN SUITE MASTER BEDROOMS; FRONT & REAR VERANDAS & SPARKLING POOL WITH 180 DEGREE BREATHTAKING VIEWS. SOLAR SYSTEM OWNED AND NEW CENTRAL HVAC SYSTEM. TRULY AN ENTERTAINER'S PARADISE SITUATED ON 1.16 ACRES THIS HOMESITE IS SUBDIVIDABLE! THIS IS A DO NOT MISS OPPORTUNITY. ADORABLE COTTAGE STYLE ADU CURRENTLY RENTED SEPARATE FROM MAIN HOME ALONG WITH ADD; STUDIO & 1/2 BATH @ BARN AND TWO STALLS. OPEN HOUSE AUGUST 16TH & 17TH FROM 1 - 4 PM",https://www.realtor.com/realestateandhomes-detail/234-Acacia-Ln_Alamo_CA_94507_M17838-25550,2025-08-16 00:12:34+00:00,,0,ADU,0.04327380952380953,48219.0,800000.0
